Discrete Standard Operation Breakdown
Matrix,Dot 1 (+Reset),Dot 2 (+Reset),Global Reduction 1 (+Barrier),Global Reduction 2 (+Barrier),Memcpy Dot to Host 1,Memcpy Dot to Host 2,NVSHMEM Barrier 1 (After SpMV),NVSHMEM Barrier 2 (End of Iteration),Saxpy 1,Saxpy 2,Saxpy 3,SpMV
tridiagonal,0.2094,0.1695,0.2585,0.2599,0.0680,0.0673,0.1108,0.1102,0.1827,0.2416,0.1814,0.5409
ecology2,0.0746,0.0736,0.2211,0.2304,0.0657,0.0653,0.0952,0.0971,0.0593,0.0588,0.0605,0.1004
hood,0.0705,0.0700,0.2160,0.2223,0.0652,0.0642,0.1086,0.0973,0.0553,0.0549,0.0559,0.4870
bmwcra_1,0.0700,0.0696,0.2146,0.2280,0.0650,0.0640,0.2559,0.0973,0.0549,0.0546,0.0557,0.9622
consph,0.0698,0.0694,0.2164,0.2261,0.0653,0.0648,0.2090,0.0971,0.0545,0.0544,0.0554,0.3745
thermomech_dM,0.0701,0.0699,0.2182,0.2286,0.0649,0.0645,0.1132,0.0987,0.0553,0.0550,0.0561,0.2324
tmt_sym,0.0735,0.0731,0.2180,0.2266,0.0662,0.0657,0.0945,0.0967,0.0580,0.0577,0.0590,0.1137
crankseg_1,0.0702,0.0687,0.2249,0.2288,0.0669,0.0650,7.6064,0.0960,0.0543,0.0540,0.0554,1.6466
crankseg_2,0.0717,0.0699,0.2342,0.2338,0.0684,0.0658,10.8982,0.0978,0.0547,0.0544,0.0556,1.8452
Queen_4147,0.1025,0.0889,0.2284,0.2247,0.0685,0.0650,0.2232,0.0959,0.0722,0.0720,0.0681,15.1167
Bump_2911,0.0957,0.0850,0.2273,0.2234,0.0686,0.0654,0.3731,0.0966,0.0672,0.0676,0.0653,4.7050
G3_circuit,0.0763,0.0751,0.2168,0.2256,0.0654,0.0648,0.1236,0.0975,0.0600,0.0596,0.0608,0.2145
StocF-1465,0.0835,0.0780,0.2241,0.2272,0.0659,0.0638,0.1718,0.0955,0.0616,0.0609,0.0605,0.5684
Flan_1565,0.0857,0.0781,0.2274,0.2240,0.0676,0.0644,0.1596,0.0962,0.0621,0.0622,0.0606,4.5419
audikw_1,0.0834,0.0769,0.2250,0.2208,0.0675,0.0643,0.0936,0.0959,0.0599,0.0595,0.0586,4.8515
Serena,0.0836,0.0779,0.2228,0.2217,0.0669,0.0640,0.2073,0.0955,0.0613,0.0615,0.0600,2.6818
Geo_1438,0.0842,0.0781,0.2225,0.2195,0.0674,0.0648,0.1707,0.0960,0.0620,0.0623,0.0605,2.2589
Hook_1498,0.0831,0.0775,0.2219,0.2201,0.0665,0.0640,0.1343,0.0964,0.0617,0.0623,0.0606,1.8148
ldoor,0.0808,0.0755,0.2255,0.2252,0.0667,0.0644,0.2791,0.0954,0.0593,0.0595,0.0585,0.8216
